"","time","source","blue","neither","total","white"
"1",2013,"FX:379",2030.98592356819,1131.08519981528,1782.91216476812,2107.7079741222
"2",2014,"FX:379",2057.97020611667,1095.52488879405,1797.87325623434,2161.60483986557
"3",2015,"FX:379",2105.84888760462,959.299151261749,1795.65412184741,2176.50926657785
"4",2016,"FX:379",2095.51227620613,1021.29311920406,1786.65744885263,2185.78929533999
"5",2017,"FX:379",2096.12525768461,1157.5721284008,1791.33108879391,2183.8964671415
