"","time","source","aggr-blue"
"1",1996,"DA:3092",627
"2",1997,"DA:3092",641
"3",1998,"DA:3092",630
"4",1999,"DA:3092",636
"5",2000,"DA:3092",656
"6",2001,"DA:3092",699
"7",2002,"DA:3092",722
"8",2003,"DA:3092",714
"9",2004,"DA:3092",746
"10",2005,"DA:3092",716
"11",2006,"DA:3092",686
"12",2007,"DA:3092",706
"13",2008,"DA:3092",767
