"","time","source","blue"
"1",1986,"JA:377",3219889294.93977
"2",1987,"JA:377",4542378492.51318
"3",1988,"JA:377",2624699213.67813
"4",1989,"JA:377",1646568073.7853
"5",1990,"JA:377",325.897572063685
"6",1991,"JA:377",1215.25302633518
"7",1992,"JA:377",1157.51019980219
"8",1993,"JA:377",1167.85859363839
"9",1994,"JA:377",1469.35550370122
"10",1995,"JA:377",1627.14964053047
